Title,Singer,Lyric
오래된 노래,스탠딩 에그,오래전에 함께 듣던 노래가 발걸음을 다시 멈춰 서게 해 이 거리에서 너를 느낄 수 있어 널 이곳에서 꼭 다시 만날 것 같아 너일까 봐 한 번 더 바라보고 너일까 봐 자꾸 돌아보게 돼 어디선가 같은 노래를 듣고 날 생각하며 너 역시 멈춰있을까 오래전에 함께 듣던 노래가 거리에서 내게 우연히 들려온 것처럼 살아가다 한 번쯤 우연히 만날 것 같아 사랑했던 그 모습 그대로 내 사랑이 그대로인 것처럼 발걸음이 여길 찾는 것처럼 꼭 만날 거야 지금 이 노래처럼 날 사랑하는 네 맘도 같을 테니까 오래전에 함께 듣던 노래가 거리에서 내게 우연히 들려온 것처럼 살아가다 한 번쯤 우연히 만날 것 같아 사랑했던 그 모습 그대로 운명처럼 아니면 우연처럼 우리가 다시 예전처럼 만날 수 있다면 너에게 나 해주고 싶은 말이 하나 있어 널 다시는 놓치지 않을게 오래전에 함께 듣던 노래가 거리에서 내게 우연히 들려온 것처럼 살아가다 한 번쯤 우연히 만날 것 같아 사랑했던 그 모습 그대로
안아줘,정준일,서러운 맘을 못 이겨 잠 못 들던 어둔 밤을 또 견디고 내 절망관 상관없이 무심하게도 아침은 날 깨우네 상처는 생각보다 쓰리고 아픔은 생각보다 깊어가 널 원망하던 수많은 밤이 내겐 지옥같아 내 곁에 있어줘 내게 머물러줘 네 손을 잡은 날 놓치지 말아줘 이렇게 니가 한걸음 멀어지면 내가 한걸음 더 가면 되잖아 하루에도 수천번씩 니 모습을 되뇌이고 생각했어 내게 했던 모진 말들 그 싸늘한 눈빛 차가운 표정들 넌 참 예쁜 사람 이었잖아 넌 참 예쁜 사람 이었잖아 제발 내게 이러지 말아줘 넌 날 잘 알잖아 내 곁에 있어줘 내게 머물러줘 네 손을 잡은 날 놓치지 말아줘 이렇게 니가 한걸음 멀어지면 내가 한걸음 더 가면 되잖아 내겐 내가 없어 난 자신이 없어 니가 없는 하루 견딜 수가 없어 이젠 뭘 어떻게 해야 할지 모르겠어 니가 없는 난 그냥 날 안아줘 나를 좀 안아줘 아무 말 말고서 내게 달려와줘 외롭고 불안하기만 한 맘으로 이렇게 널 기다리고 있잖아 난 너를 사랑해 난 너를 사랑해 긴 침묵 속에서 소리 내 외칠게 어리석고 나약하기만 한 내 마음을
스토커,10CM,나도 알아 나의 문제가 무엇인지 난 못났고 별 볼 일 없지 그 애가 나를 부끄러워 한다는 게 슬프지만 내가 뭐라고 빛나는 누군갈 좋아하는 일에 기준이 있는 거라면 이해할 수 없지만 할 말 없는걸 난 안경 쓴 샌님이니까 내가 이렇게 사랑하는데 이렇게 원하는데 나는 아무것도 할 수 없고 바라만 보는데도 내가 그렇게 불편할까요 내가 나쁜 걸까요 아마도 내일도 그 애는 뒷모습만 이제 알아 나의 할 일이 무엇인지 다 포기하고 참아야 하지 저 잘 나가는 너의 남자친구처럼 되고 싶지만 불가능하지 빛나는 누군갈 좋아하는 일에 기준이 있는 거라면 이해할 수 없지만 할 말 없는걸 난 안경 쓴 샌님이니까 내가 이렇게 사랑하는데 이렇게 원하는데 나는 아무것도 할 수 없고 바라만 보는데도 내가 그렇게 불편할까요 내가 나쁜 걸까요 아마도 내일도 그 애는 나는 왜 이런 사람 이런 모습이고 이런 사랑을 하고 나는 아무것도 될 수 없고 바라만 보는데도 내가 그렇게 불편하니까 내가 나쁜 거니까 아마도 내일도 그 애는 나도 알아 나의 문제가 무엇인지
오빠야,신현희와김루트,오빠야 내가 진짜 좋아하는 사람이 생겨서 혼자 끙끙 앓다가 죽어버릴 것만 같아서 얘기를 한다 눈 앞에 아른아른거리는 잘생긴 얼굴 자꾸 귀에 맴도는 그의 촉촉한 목소리 예 네가 좋아하는 그 남자 도대체 누구길래 이렇게나 들뜬 거니 얼굴은 어떻게 생겼는지 무슨 일을 하는지 나는 너무나 궁금해 나는 너를 좋아하고 너를 좋아하고 너도 나를 좋아하고 나를 좋아하고 우린 서로 좋아하는데도 그 누구도 말을 안 해요 나는 너를 좋아하고 너를 좋아하고 너도 나를 좋아하고 나를 좋아하고 우린 서로 좋아하는데도 그 누구도 말을 안 해요 말을 하면 멀어질까 너무 두려워 너를 잃기가 나는 너무 무서워 말을 하면 멀어질까 너무 두려워 너를 잃기가 나는 너무 무서워 예 좋아하는 마음에 떨리는 날들에 더 없이 덧없이 마음이 커지고 두근대는 마음에 설레는 날들에 난 헤어 나올 수 없어 나는 너를 좋아하고 너를 좋아하고 너도 나를 좋아하고 나를 좋아하고 우린 서로 좋아하는데도 그 누구도 말을 안 해요 나는 너를 좋아하고 너를 좋아하고 너도 나를 좋아하고 나를 좋아하고 우린 서로 좋아하는데도 그 누구도 말을 안 해요 나는 너를 좋아하고 너를 좋아하고 너도 나를 좋아하고 나를 좋아하고 우린 서로 좋아하는데도 그 누구도 말을 안 해요 나는 너를 좋아하고 너를 좋아하고 너도 나를 좋아하고 나를 좋아하고 우린 서로 좋아하는데도 그 누구도 말을 안 해요 나는 너를 좋아하고 너를 좋아하고 너도 나를 좋아하고 나를 좋아하고 우린 서로 좋아하는데도 그 누구도 말을 안 해요 나는 너를 좋아하고 너를 좋아하고 너도 나를 좋아하고 나를 좋아하고 우린 서로 좋아하는데도 그 누구도 말을 안 해요
겨울을 걷는다,윤딴딴,벌써 몇 달 짼가 너 만난다는 그 사람 얘길 들었어 아마 뭔 일이 있었나 저쨌나 떠들어대던 심보가 이젠 여기까지 발동해서 널 떠올리게 됐나봐 또 어쩌다 친구들에게 그 시절 얘길 들어도 내가 한 마디 못한 너를 멋대로 막돼먹게 말을 맘대로 막해 막 때리지도 못해 내 자신을 난 그게 문제였어 너와 이별에 난 버린 것이 많고 찾을 것이 많고 가는 마음마다 머물지를 잘 못해 사랑했던 시간 널 좋아했던 그 많은 아픈 날을 걸었네 너와 이별은 또 많은 날을 울게 만들었어 이젠 모두 지난 얘기지만 시간이 지난 난 처음 널 만났던 그 겨울 속을 걸어가 눈물없인 볼 수 없다던 한참 인기 많은 영화를 봤어 아마 주인공이 죽었나 저쨌나 떠들어대는 사람들 아마 둘은 다신 볼 수 없었지 그건 영화이니까 오 내 주변에 여자가 많단 그런 헛소릴 듣고 웃을 때가 아니야 아니 왜 내 얘길 내가 맘대로 못해 변명도 못해 남탓도 못해 암말도 못해 웃어 이자식이 난 그게 재미없어 너와 이별에 난 버린 것이 많고 찾을 것이 많고 가는 마음마다 머물지를 잘 못해 사랑했던 시간 널 좋아했던 그 많은 아픈 날을 걸었네 너와 이별은 또 많은 날을 울게 만들었어 이젠 모두 지난 얘기지만 시간이 지난 난 처음 널 만났던 그 겨울 속을 걸어가 걷다보면 시간이 말하겠지 그 겨울 속을 걸어가 걷다보면 마음이 말해주겠지 너와 이별은 참 버린 것이 많던 찾을 것이 많던 가는 마음 따라 흘러갔던 시간이 내게 줬던 아픈 힘들었었던 모든 걸 참으라고 말했네 너와 이별은 더 꺼내지도 않는 말이 돼버린걸 이젠 모두 지난 얘긴거야 시간이 지난 난 시간이 지난 난 그 겨울 속을 걸어가
Madeleine Love,CHEEZE (치즈),오늘같이 싱그러운 날 길거리 차도 별로 다니지 않아 문득 지나가다 거울을 보면 오늘 내 모습은 좀 예뻐 보이네 이따가 널 보면 무슨 말을 할까 날씨가 좋다고 뻔한 말이라도 건네볼까 어색한 장난이라도 용감하게 오늘은 널 웃음 짓게 만들 거야 I’m in madeleine love I’m in madeleine love I’m in madeleine love 오늘같이 햇볕 좋은 날엔 매일 걷던 거리도 지겹지 않아 문득 지나가다 거울을 보면 내 얼굴도 이 정도면 잘생겼네 이따가 널 보면 무슨 말을 할까 날씨가 좋다고 공원이라도 좀 걷자 할까 짓궂은 장난이라도 용감하게 오늘은 널 웃음 짓게 만들 거야 I’m in madeleine love I’m in madeleine love I’m in madeleine love I’m in madeleine love I’m in madeleine love I’m in madeleine love
위잉위잉,혁오 (HYUKOH),비틀비틀 걸어가는 나의 다리 오늘도 의미없는 또 하루가 흘러가죠 사랑도 끼리끼리 하는거라 믿는 나는 좀처럼 두근두근 거릴일이 전혀없죠 위잉위잉 하루살이도 처량한 나를 비웃듯이 멀리 날아가죠 비잉비잉 돌아가는 세상도 나를 비웃듯이 계속 꿈틀대죠 Tell me Tell me Please don’t tell 차라리 듣지 못한 편이 내겐 좋을거야 Tell me Tell me Please don’t tell 차라리 보지 못한 편이 내겐 좋을거야 ai ai ai ai ai ai ai ai ai ai ai ai ai ai ai ai ai ai ai ai ai ai ai ai ai ai ai 사람들 북적대는 출근길의 지하철엔 좀처럼 카드찍고 타볼일이 전혀없죠 집에서 뒹굴뒹굴 할 일없어 빈둥대는 내 모습 너무 초라해서 정말 죄송하죠 위잉위잉 하루살이도 처량한 나를 비웃듯이 멀리 날아가죠 비잉비잉 돌아가는 세상도 나를 비웃듯이 계속 꿈틀대죠 쌔앵 쌔앵 칼바람도 상처난 내 마음을 어쩌지는 못할거야 뚜욱 뚜욱 떨어지는 눈물이 언젠가는 이세상을 덮을거야 Tell me Tell me Please don’t tell 차라리 듣지 못한 편이 내겐 좋을거야 Tell me Tell me Please don’t tell 차라리 보지 못한 편이 내겐 좋을거야 Tell me Tell me Please don’t tell 차라리 느껴보지 못한 편이 좋을거야 Tell me Tell me Please don’t tell 차라리 살아보지 못한 편이 좋을거야 비틀비틀 걸어가는 나의 다리 오늘도 의미없는 또 하루가 흘러가죠 사랑도 끼리끼리 하는거라 믿는 나는 좀처럼 두근두근 거릴일이 전혀없죠 위잉위잉 하루살이도 처량한 나를 비웃듯이 멀리 날아가죠 비잉비잉 돌아가는 세상도 나를 비웃듯이 계속 꿈틀대죠
널 생각해,원 모어 찬스 (one more chance),Tonight 널 바래다 주는 길 내내 내가 변했다고 말하지 널 생각하지 않는다고 너는 투덜대지 언제나 넌 사랑이 설레임이니 내겐 사랑은 익숙함야 너를 떠올리는 그 시간을 따로 두진 않아 늘 널 생각해 그래 널 생각해 바쁜 하루의 순간 순간 그 순간도 니가 보여 모두 보여줄 순 없지만 조금은 너도 느끼잖아 늘 널 생각해 매일 널 생각해 잠이 들어 꿈꾸는 순간도 내 앞에 웃는 그런 너를 생각해 기억나 내가 처음 고백했던 그 날 멋진 이벤트도 없었지만 나 받아준 널 내 가슴에 늘 지금처럼 늘 널 생각해 그래 널 생각해 바쁜 하루의 순간 순간 그 순간도 니가 보여 모두 보여줄 순 없지만 조금은 너도 느끼잖아 늘 널 생각해 매일 널 생각해 잠이 들어 꿈꾸는 순간도 내 앞에 웃는 그런 너를 생각해 늘 널 생각해 그래 널 생각해 우리 함께 한 순간 순간 그 순간이 소중해서 말로 다 할 수는 없지만 조금씩 네게 보여줄게 늘 난 생각해 매일 난 생각해 이른 아침 잠에서 깨어나 이 세상에서 가장 행복한 너를 내 앞에 웃는 그런 널 보며 I Love You
고백,정준일,우리 이제 그만하자 다신 마주치지 않도록 그렇게 지내자 별다를 거 없어 사는 게 그렇잖아 언제나처럼 우린 늘 혼자였잖아 생각보단 쉬울 것 같아 너없이 하루를 사는 게 내겐 지금보다 마음 졸이며 널 기다린 하루보다 어쩌면 혼자인 게 더 편할 테니까 그런데 왜 지금 나 널 그리워하는 거니 네가 없는 하루하루가 왜 이리 힘드니 네가 보고 싶다고 너무 보고 싶다고 전하지도 못할 말들을 하곤 했어 이제야 내 맘 다 알 것 같은데 오랜만에 누굴 만나서 시덥잖은 얘길 하고 소리 내어 웃곤 해 괜찮다고 아무렇지 않은 날 보며 너의 마음이 조금만 더 아팠으면 해 그런데 왜 지금 나 널 그리워하는 거니 네가 없는 하루하루가 왜 이리 힘드니 네가 보고 싶다고 너무 보고 싶다고 전하지도 못할 말들을 하곤 했어 이제야 내 맘 다 알 것 같은데 괜찮다고 말하던 친구들의 위로에 아무렇지 않은 것처럼 겨우 웃어보지만 아무리 달려봐도 결국엔 그 자리에 난 너를 그리워하는가봐 미안해 나 지금 너에게 달려가고 있어 차마 네게 할 수 없던 말 이젠 고백할게 너를 사랑한다고 너무 사랑한다고 바보 같은 내 맘 받아 줄 수 있겠니 이제야 내가 날 알 것 같은데 이렇게 난 널 그리워하는데
사랑은 은하수 다방에서,10CM,사랑은 은하수 다방 문 앞에서 만나 홍차와 냉커피를 마시며 매일 똑같은 노래를 듣다가 온다네 그대는 물에 젖지 않은 성냥개비 같죠 아무리 싫은 표정 지어도 불타는 그 마음을 감출 수가 없다네 그대 나에게 무슨 말이라도 해주오 나는 찻잔에 무지개를 띄워주리 하루도 이틀도 사흘도 배겨낼 수가 없네 못 살고 못 죽고 그대 없는 홍대 상수동 신촌 이대 이태원 걸어 다닐 수도 없지 그대 나에게 무슨 말이라도 해주오 나는 찻잔에 무지개를 띄워주리 하루도 이틀도 사흘도 배겨낼 수가 없네 못 살고 못 죽고 그대 없는 홍대 상수동 신촌 이대 이태원 걸어 다닐 수도 없지 사랑은 은하수 다방 문 앞에서 만나 홍차와 냉커피를 마시며 매일 똑같은 노래를 듣다가 온다네 사랑은 은하수 다방 문 앞에서 만나 홍차와 냉커피를 마시며 매일 똑같은 노래를 듣다가 온다네 그대 그댈 그댄 그대 그댈 그댄 그대 그대 그댄 대박 대박
