Title,Singer,Lyric
Marry Me (With 구윤회),마크툽 (MAKTUB),비 내리는 날엔 우산이 돼 주고 어둠이 오면 빛이 돼 줄게 추운 겨울이면 난로가 돼 주고 더운 날엔 바람이 될게 잠이 들 때까지 머릴 만져줄게 니가 두려울 때마다 꼭 옆에 있어줄게 갑작스런 맘에 문득 떠나고 싶으면 내일 무슨 일이 있어도 함께 떠나줄게 Marry Me 내 손 잡아줄래요 Marry Me 나와 평생 함께 할래요 남은 나의 모든 삶 오직 그대 남자로 살고 싶어요 Marry Me darling 나와 결혼해 줄래요 순간뿐이 아냐 많이 생각했어 헌데 내 사랑을 줄 수 있는 여잔 너 밖에 없어 차갑고 어두운 험하고 쓸쓸한 세상 속 평생의 동반자로 함께 걸어가고 싶어 Marry Me 내 손 잡아줄래요 Marry Me 나와 평생 함께 할래요 남은 나의 모든 삶 오직 그대 남자로 살고 싶어요 Marry Me darling 나와 결혼해 줄래요 내 안에 숨쉬는 아름다운 그대 영원히 같은 꿈을 꾼다면 얼마나 좋을까 믿어요 Marry Me 그대와 함께 하는 매일이 내겐 천국이죠 나와 결혼해 줄래요 비 내리는 날엔 우산이 돼 주고 어둠이 오면 빛이 돼 줄게
벌써 일년,브라운 아이즈,처음이라 그래 며칠뒤엔 괜찮아져 그 생각만으로 벌써 일년이 너와 만든 기념일마다 슬픔은 나를 찾아와 처음 사랑 고백하며 설렌 수줍음과 우리 처음 만난날 지나가고 너의 생일엔 눈물의 케이크 촛불 켜고서 축하해 I believe in you I believe in your mind 벌써 일년이 지났지만 일년뒤에도 그 일년뒤에도 널 기다려 너무 보고싶어 돌아와줘 말 못했어 널 보는 따뜻한 그의 눈빛과 니 왼손에 껴진 반지보다 빛난 니 얼굴 때문에 I believe in you I believe in your mind 다시 시작한 널 알면서 이젠 나없이 추억을 만드는 너라는걸 내가 기억하는 추억은 언제나 지난 웃음과 얘기와 바램들 또 새로 만들 추억은 하나뿐 내 기다림과 눈물 속 너일뿐 I believe in you I believe in your mind 다시 시작한 널 알면서 이젠 나없이 추억을 만드는 너라는걸 I believe in you I believe in your mind 벌써 일년이 지났지만 일년뒤에도 그 일년뒤에도 널 기다려
내사람 : Partner For Life,SG 워너비,내 가슴 속에 사는 사람 내가 그토록 아끼는 사람 너무 소중해 마음껏 안아보지도 못했던 누구에게나 흔한 행복 한번도 준 적이 없어서 맘 놓고 웃어본 적도 없는 그댈 사랑합니다 내가 기쁠 때나 슬플 때나 함께 울고 웃어주던 그댈 위해 내가 할 수 있는건 뭐든 해주고 싶어 안녕 내사랑 그대여 이젠 내가 지켜줄게요 못난 날 믿고 참고 기다려줘서 고마워요 안녕 내사랑 그대여 영원토록 사랑할게요 다시 태어나서 사랑한대도 그대이고 싶어요 어두운 밤 길을 잃어도 서로 등불이 되어주고 비바람 몰아쳐도 지금 잡은 두손 놓지 말아요 내가 힘들 때나 아플 때나 내 곁에 있어준 그대 미안하단 말로 고맙단 말을 대신 하던 나였죠 안녕 내사랑 그대여 이젠 내가 지켜줄게요 못난 날 믿고 참고 기다려줘서 고마워요 안녕 내사랑 그대여 영원토록 사랑할게요 다시 태어나서 사랑한대도 그대이고 싶어요 넘어지고 몇 번을 다시 넘어진다 해도 그대만 있다면 다시 일어날 수 있는데 안녕 내사랑 그대여 이젠 내가 지켜줄게요 못난 날 믿고 참고 기다려줘서 고마워요 안녕 내사랑 그대여 이렇게 그댈 부를 때면 너무 행복해서 눈물이 나죠 사랑해요
바람기억,나얼,바람 불어와 내 맘 흔들면 지나간 세월에 두 눈을 감아본다 나를 스치는 고요한 떨림 그 작은 소리에 난 귀를 기울여 본다 내 안에 숨쉬는 커버린 삶의 조각들이 날 부딪혀 지날 때 그 곳을 바라보리라 우리의 믿음 우리의 사랑 그 영원한 약속들을 나 추억한다면 힘차게 걸으리라 우리의 만남 우리의 이별 그 바래진 기억에 나 사랑했다면 미소를 띄우리라 내 안에 있는 모자란 삶의 기억들이 날 부딪혀 지날 때 그 곳을 바라보리라 우리의 믿음 우리의 사랑 그 영원한 약속들을 나 추억한다면 힘차게 걸으리라 우리의 만남 우리의 이별 그 바래진 기억에 나 사랑했다면 미소를 띄우리라
친구라도 될 걸 그랬어,거미,벌써 넌 내가 편하니 웃으며 인사 할 만큼 까맣게 나를 잊었니 네 곁에 있는 사람 소개할만큼  견디긴 너무 힘든데 자꾸만 울고 싶은데 내 옆이 아닌 자리에 너를 보고 있는게 왜 그게 행복한걸까  친구라도 될 걸 그랬어 모두 다 잊고서 다른 사람 만나는 널 보아도 슬프지 않게  그저 바라보고 있었어 한참동안 네 옆에 그 사람까지도 잠시라도 더 보려고 다시 혹시라도 널 보게되면 그땐 모르는 척 해볼게 웃어도 볼게 지금의 너처럼  눈 감지 말고 보낼 걸 가는 널 꼭 지켜볼 걸 차가운 너의 걸음에 마지막 내 눈물도 묻혀서 보내버릴 걸  너무 모진 너의 모습이 미워져버렸어 다른 사람 만나는 널 보아도 슬프지 않게  그저 바라보고 있었어 한참동안 네 옆에 그 사람까지도 잠시라도 더 보려고  다시 혹시라도 널 보게되면 그땐 모르는 척 해볼게 웃어도 볼게 지금의 너처럼  차라리 잘된 것 같아 다시 널 또 한번 미워할 수 있을테니  혹시 아직 너도 나처럼 편해지지 못하고 아파만 하는 거니 애써 너도 참는거니  혹시 네가 다시 돌아올까봐 나의 곁은 아직 그대로 비워져 있어 너의 자리라서 -
Oasis (Feat. ZICO),Crush,난 널 you 목말라해 너무 더워 물이 필요해 Hot in here 난 웅덩이 깊이 파인 곳을 찾아 다녀 달콤하게 날 더 바라봐줘 넌 훌륭해 이 메마른 땅을 정글로 만들고 난 모험하고 또 탐험 You know how we do it we just do it All you ladies hands in the air All my ladies hands up in the air 그녀는 그녀는 날 미치게 해 그녀는 날 숨쉬게 해 Yeah O A She's mine O A She's mine O A She's mine Yeah She's mine All you ladies hands in the air All my ladies hands up in the air 그녀는 그녀는 날 미치게 해 그녀는 날 숨쉬게 해 Get closer to my body 천국에다가 데려다 줄게 body to body 넌 낮이 밤이 될 때까지 waterfall 그 속에서 난 헤엄치고 싶어 You know how we do it we just do it All you ladies hands in the air All my ladies hands up in the air 그녀는 그녀는 날 미치게 해 그녀는 날 숨쉬게 해 Yeah O A She's mine O A She's mine O A She's mine Yeah She's mine All you ladies hands in the air All my ladies hands up in the air 그녀는 그녀는 날 미치게 해 그녀는 날 숨쉬게 해 넌 남자들 욕망에 갈증 나게 하면서 어째서 주위 여자들은 물 맥여 때마침 넌 제대로 된 상대를 만났어 난 태연하게 제안하지 술 대결 결관 KO 고양이한테 생선을 맡긴 거야 늘 첫 경험하는 자세 앞뒤를 몰라 감탄사대신 엄지 척 다리 사이로 난 광주출신 아니지만 전라도 환영 넌 겨울 해 밤도 안됐는데 자꾸만 지려해 baby oh 쪽쪽 물고 뜯고 맛보고 즐겨 악 질러대 하고 싶죠 하고 있는데도 하고 싶을 거야 그럴 땐 이걸 꺼내먹어 You Know What 지구부터 달까지 로켓을 쏘아 All you ladies hands in the air All my ladies hands up in the air 그녀는 그녀는 날 미치게 해 그녀는 O A She's mine O A She's mine O A She's mine
...사랑했잖아...,린,나만 원한다 했던 말도 지켜준다던 약속들도 아무렇지 않은 표정으로 버리고 있잖아 너만 바라본 많은 날들 물거품이 돼버린 오늘 또 아무렇지 않게 웃고있을 너잖아 정말 좋았잖아 행복 했었잖아 가슴아픈 그런 일들도 견뎌냈던 우리잖아 제발 그러지마라 아직 사랑하는 날 너도 알고 있잖아 매일밤 울며 전화하는 날 낯설만큼 차가운 니 목소릴 들어도 바보처럼 난 너를 못잊어 이렇게  알면서도 시작한 만남 그녀에게 미안한 맘만 하루하루 지날수록 커진 내 헛된 욕심들 많이 부담스러웠겠지 니 자릴 찾으려 했겠지 난 알고 있었어 닫혀진 너의 마음을 정말 좋았잖아 행복 했었잖아 가슴아픈 그런 일들도 견뎌냈던 우리잖아 제발 그러지마라 아직 사랑하는 날 너도 알고 있잖아 매일밤 울며 전화하는 날 낯설만큼 차가운 니 목소릴 들어도 바보처럼 난 니가 행복하길 바래 다시 나에게 너라는 기회가 온다면 놓치지 않을텐데 니 손 꼭 잡을텐데 니가 원했던 만큼 많이 원했던 만큼 잘해주지 못한 날 미안해 용서해 이해해줘 끝까지 이기적인거 이것도 이해해줄래 바보같은 날 마지막까지 이렇게 마지막 까지 미안해
가끔,Crush,오늘밤은 유난히 추워 가만히 밤 하늘을 또 다시 보고 있어 벌써 1년이 지나 아련하게 다가와 추억 널 집에 데려다 줬던 그 기억들이 다 너무 소중해 언젠가 널 내 옆에 두고 그땐 그랬었지 라며 추억들을 나눌 거라고 생각했었지 넌 나와 같을까 되뇌어보지만 감이 오질 않아 그냥 가끔 그리울 뿐인데 너와 입을 맞추고 널 감싸 안았던 아주 가끔 보고플 뿐인데 오늘은 왜 이렇게 눈물이 나는지 오랜만에 열어본 서랍 속엔 환하게 웃고 있는 네 사진들 버리게 되면 영영 널 잊게 될까 봐 두려워져 언젠가 널 내 옆에 두고 그땐 그랬었지 라며 추억들을 나눌 거라고 생각했었지 넌 나와 같을까 나만 아는 걸까 이미 넌 무감각해졌으니까 그냥 가끔 그리울 뿐인데 너와 입을 맞추고 널 감싸 안았던 아주 가끔 보고플 뿐인데 오늘은 왜 이렇게 눈물이 나는지 I miss you I miss you baby I miss you I miss you baby baby 있을 때 잘할걸 후회 하면서도 돌이킬 자신이 없는걸 이렇게 나만 바보처럼 내 맘 가두고서 살아 그냥 가끔 그리울 뿐인데 너와 입을 맞추고 널 감싸 안았던 아주 가끔 보고플 뿐인데 오늘은 왜 이렇게 눈물이 나는지 I miss you baby I miss you baby I miss you I miss you
같은 시간 속의 너,나얼,꼭 그러지 않아도 충분히 널 이해할 수 있어 다른 사람 곁에 서 있는 니 모습이 조금 어색하지만 다 버리지 않아도 어떻게든 이겨낼 수 있어 다른 사랑 찾아가버린 니 얼굴이 그렇게 밉진 않아 이제 우리 같은 시간 속을 남처럼 그렇게 걸으면 돼 달아나도 가지 못할 기억 안고 아무말도 하지마요 더는 안된다는거 잘 알아요 많은 날들이 아무 의미없진 않겠죠 멀어지는 바람처럼 우리 함께한 기억들을 꿈처럼 그렇게 안으면 돼 눈 감아도 잊지 못할 추억의 널 묻고 아무말도 하지마요 더는 안된다는거 잘 알아요 사랑했던 날 모두 사라지진 않겠죠 우릴 스치는 안개처럼 아무것도 묻지 않을게요 이대로 묻어둘래요 나는요 거짓말처럼 또 하루가 살아지겠죠 떨어지는 같은 시간 속의 너
우주를 건너,백예린 (Yerin Baek),혼자서 널 기다릴 때면 나 혼자 다른 행성에 있는 듯 해 여기서 네가 있는 곳까지 얼마나 오래 걸릴지 난 궁금해 상상이 안돼 내게 좀 더 빨리 와줘 그대가 없는 이 곳은 내게는 너무 캄캄해 나 여기서 두 팔 벌려 그대를 안아줄 준비가 돼있어 너와 나 사이의 우주를 건너 내게로 would you like to come over to me 너와 나 사이의 우주를 건너 내게로 날아 와줘 더 이상 기다리게 하지마 I’m waiting for you now eh eh Baby I need you now eh eh I’m waiting for you now eh eh Baby I need you now 저 멀리 널 보고 있으면 너와 나는 다른 생각을 하는 듯 해 여기서 언제까지 난 기다리고 있어야 하는지 궁금해 답답하기만 해 내게 지금 빨리 와줘 그대가 없는 이 곳은 내게는 너무 막막해 꼭 잡은 손 그대를 놓치지 않을 준비가 돼있어 너와 나 사이의 우주를 건너 내게로 would you like to come over to me 너와 나 사이의 우주를 건너 내게로 날아 와줘 더 이상 기다리게 하지마 I’m waiting for you now eh eh Baby I need you now eh eh I’m waiting for you now eh eh Baby I need you now 멀리 있는 것만 같아도 손 내밀면 잡힐 듯한 그대 그림자 그댈 꼭 안고 내 마음 느낄 수 있도록 놓지 않을래 I’m waiting for you now 너와 나 사이의 우주를 건너 내게로 would you like to come over to me 너와 나 사이의 거리 그 사이의 우주 가득히 너로 채울게 나에게 다가와 I’m waiting for you now eh eh Baby I need you now eh eh I’m waiting for you now eh eh Baby I need you now Baby I need you now Baby I need you now
