Title,Singer,Lyric
초혼,장윤정,살아서는 갖지 못하는 그런 이름 하나 때문에 그리운 맘 눈물 속에 난 띄워 보낼 뿐이죠 스치듯 보낼 사람이 어쩌다 내게 들어와 장미의 가시로 남아서 날 아프게 지켜보네요 따라가면 만날 수 있나 멀고 먼 세상 끝까지 그대라면 어디라도 난 그저 행복할 테니  살아서는 갖지 못하는 그런 이름 하나 때문에 그리운 맘 눈물 속에 난 띄워 보낼 뿐이죠 스치듯 보낼 사람이 어쩌다 내게 들어와 장미의 가시로 남아서 날 아프게 지켜보네요 따라가면 만날 수 있나 멀고 먼 세상 끝까지 그대라면 어디라도 난 그저 행복할 테니 난 너무 행복할 테니
사랑아,장윤정,안돼요 안돼 날 두고 떠나면 안돼 그렇게 못해 난 절대 보낼 순 없어 갈테면 가라 모든 걸 잊고 떠나봐 그땐 뒤돌아서 후회를 할꺼야  희미한 기억속에 너의 이름 불러도 다신 볼 수 없던 사랑한 사람 사랑아 나를 두고 떠나 가지마 나만 두고 가려거든 다신 나를 찾지마  언젠가 그대 나를 찾는다 해도 그땐 내가 먼저 뒤돌아서 그댈 볼 수 없으니  안돼요 안돼 날 두고 떠나면 안돼 그렇게 못해 난 절대 보낼 순 없어 갈테면 가라 모든 걸 잊고 떠나봐 그땐 뒤돌아서 후회를 할꺼야  희미한 기억속에 너의 이름 불러도 다신 볼 수 없던 사랑한 사람 사랑아 나를 두고 떠나 가지마 나만 두고 가려거든 다신 나를 찾지마  언젠가 그대 나를 찾는다 해도 그땐 내가 먼저 뒤돌아서 그댈 볼 수 없으니 -
안동역에서,진성,1.바람에 날려버린 허무한 맹세였나  첫눈이 내리는 날 안동역 앞에서  만나자고 약속한사람  새벽부터 오는 눈이 무릎까지 덮는데  안오는 건지 못오는 건지 오지 않는 사람아  안타가운 내 마음만 녹고 녹는다  기적소리 끊어진 밤에  2.어차피 지워야할 사랑은 꿈이였나  첫눈이 내리는 날 안동역 앞에서  만나자고 약속한사람  새벽부터 오는눈이 무릎까지 덮는데  안오는 건지 못오는 건지 대답 없는 사람아  기다리는 내 마음만 녹고 녹는다  기다리는 내 마음만 녹고 녹는다  기다리는 안동역에서
꽃,장윤정,날 찾아 오신 내님 어서 오세요 당신을 기다렸어요 라이 라이야 어서오세요 당신의 꽃이 될래요 어디서 무엇하다 이제 왔나요 당신을 기다렸어요 라이 라이야 어서오세요 당신의 꽃이 될래요 사랑의 꽃씨를 뿌려 기쁨을 주고 서로 행복 나누면 니이 라이 라이 라이 라이야 당신은 나의 나무가 되고 니이 라이 라이 라이 라이야 나는 당신의 꽃이 될래요 날 찾아오신 내님 어서 오세요 당신을 기다렸어요 라이 라이야 어서오세요 당신의 꽃이 될래요 어디서 무엇하다 이제 왔나요 당신을 기다렸어요 라이 라이야 어서오세요 당신의 꽃이 될래요 사랑의 꽃씨를 뿌려 기쁨을 주고 서로 행복 나누면 니이 라이 라이 라이 라이야 당신은 나의 나무가 되고 니이 라이 라이 라이 라이야 나는 당신의 꽃이 될래요 나는 당신의 꽃이 될래요
보릿고개,진성,아야 뛰지마라 배 꺼질라 가슴시린 보릿고갯길 주린 배잡고 물 한바가지 배 채우시던 그 세월을 어찌 사셨소 초근목피에 그 시절 바람결에 지워져 갈 때 어머님 설움 잊고 살았던 한 많은 보릿고개여 풀피리 꺾어 불던 슬픈 곡조는 어머님의 한숨이었소 아야 우지마라 배 꺼질라 가슴시린 보릿고갯길 주린배 잡고 물 한바가지 배 채우시던 그 세월을 어찌 사셨소 초근목피에 그 시절 바람결에 지워져 갈 때 어머님 설움 잊고 살았던 한 많은 보릿고개여 풀피리 꺾어 불던 슬픈 곡조는 어머님의 한숨이었소 풀피리 꺾어 불던 슬픈 곡조는 어머님의 통곡이었소
당신이 좋아,장윤정,그대는 내 사랑 당신도 내 사랑 이 세상에 그 무엇도 쨉이 안되지 원앙이 따로 있나 우리가 원앙이지 환상의 해피한 원앙이지  아 꿀맛같은 그대 사랑에 내 인생을 걸었잖아 비가 와도 좋아 눈이 와도 좋아 바람 불어도 좋아 좋아 좋아 당신이 좋아  그대는 내 운명 당신도 내 운명 하늘 아래 누가 와도 쨉이 안되지 그댄 꽃 중에 꽃 당신은 불나비 환상의 해피한 꽃과 나비지  아 꿀맛같은 그대 사랑에 내 인생을 걸었잖아 비가 와도 좋아 눈이 와도 좋아 바람 불어도 좋아 좋아 좋아 당신이 좋아  아 꿀맛같은 그대 사랑에 내 인생을 걸었잖아 비가 와도 좋아 눈이 와도 좋아 바람 불어도 좋아 좋아 좋아 당신이 좋아 좋아 좋아 당신이 좋아
내 사랑 (줄까 말까) (2014 Ver.),홍진영,내 사랑 그대에게 줄까 말까 고민하다 그 사람 영영 떠나요 이것저것 재지 말고 그 사람 잡아요 사랑한다는 그 말 할까 말까 망설이다 그 사람 영영 떠나요 이 남자다 싶을 때는 눈치코치 보지 말고 아낌없이 다 줘요 줄까 말까 살짝쿵 다가서도 모른 척 괜시리 좋으면서 아닌 척 보일락 말락 잡힐락 말락 애간장 녹이네 애타게 바라보는 그 심정 속타게 기다리는 그 심정 사랑을 할거면 사랑을 할거면 화끈하게 내 사랑 그대에게 줄까 말까 고민하다 그 사람 영영 떠나요 이것 저것 재지 말고 그 사람 잡아요 사랑한다는 그 말 할까 말까 망설이다 그 사람 영영 떠나요 이 남자다 싶을 때는 눈치코치 보지 말고 아낌없이 다 줘요 줄까 말까 애타게 바라보는 그 심정 속타게 기다리는 그 심정 사랑을 할거면 사랑을 할거면 화끈하게 내 사랑 그대에게 줄까 말까 고민하다 그 사람 영영 떠나요 이것 저것 재지 말고 그 사람 잡아요 사랑한다는 그 말 할까 말까 망설이다 그 사람 영영 떠나요 이 남자다 싶을 때는 눈치코치 보지 말고 아낌없이 다 줘요 줄까 말까 그대 훌쩍 떠나면 눈물만 훌쩍일 텐데 암만 후회해도 그땐 늦어요 내 사랑 그대에게 모든 걸 그대에게 줄까 말까 고민하다 그 사람 영영 떠나요 이것저것 재지 말고 그 사람 잡아요 사랑한다는 그 말 할까 말까 망설이다 그 사람 영영 떠나요 이 남자다 싶을때는 눈치코치 보지 말고 아낌없이 다 줘요 줄까 말까
어머나!,장윤정,어머나 어머나 이러지마세요 여자의 마음은 갈대랍니다 안돼요 왜이래요 묻지 말아요 더이상 내게 원하시면 안돼요 오늘 처음 만난 당신이지만 내사랑인걸요 헤어지면 남이 되어 모른척하겠지만 좋아해요 사랑해요 거짓말처럼 당신을 사랑해요 소설속에 영화속의 멋진 주인공은 아니지만 괜찮아요 말해봐요 당신 위해서라면 다줄께요  간주  어머나 어머나 이러지마세요 여자의 마음은 바람입니다 안돼요 왜이래요 잡지 말아요 더이상 내게 바라시면 안돼요 오늘 처음 만난 당신이지만 내사랑인걸요 헤어지면 남이 되어 모른척하겠지만 좋아해요 사랑해요 거짓말처럼 당신을사랑해요 소설속에 영화속의 멋진 주인공은 아니지만 괜찮아요 말해봐요 당신 위해서라면 다줄께요  소설속에 영화속의 멋진 주인공은 아니지만 괜찮아요 말해봐요 당신 위해서라면 다줄께요
시계바늘,신유,사는게 뭐 별거있더냐 욕 안먹고 살면 되는거지 술한잔에 시름을 털고 너털웃음 한번웃어보자 세상아 시계바늘처럼 돌고돌다가 가는길을 잃은사람아 미련따위 없는거야 후회도없는거야 아 아 세상살이 뭐 다 그런거지 뭐 돈이좋아 여자가좋아 술이좋아 친구가좋아 싫다하는 사람은없어 너도한번해보고 나도한번해본다 시계바늘처럼 돌고돌다가 가는길을 잃은사람아 미련따위없는거야 후회도없는거야 아 아 세상살이뭐 다 그런거지 뭐 세상살이뭐 다 그런거지 뭐
천태만상,윤수현,천태만상 인간세상 사는법도 가지가지 귀천이 따로있나 재판한다 판사 변호한다 변호사 범인잡는 형사 계룡산에 부채도사 연구한다 박사 운전한다 기사 트럭 택시 기차 전차 버스 봉고 도저 기중기 요리한다 요리사 소개한다 중계사 파마한다 미용사 간호한다 간호사 얼럴러리여 천태만상 인간세상 사는법도 가지가지 귀천이 따로있나 술판다 술장수 밥판다 밥장수 옷판다 옷장수 고기채소 과일장수 놀고먹는 백수 운동한다 선수 축구 야구 농구 배구 씨름 골프 복싱 태권도 말을탄다 기수 집짓는다 목수 돌깎는다 석수 고라니잡는 포수 얼럴러리여 천태만상 인간세상 사는법도 가지가지 귀천이 따로있나 천태만상 인간세상 사는법도 가지가지 귀천이 따로있나 설교한다 목사님 염불한다 스님 가르친다 선생님 병고친다 의사님 재롱둥이 연예인 나라지키는 군인 육군 공군 해군 해병대 특전사 카츄샤 순경 의경 공무보는 공무원 업무보는 회사원 경비보는 경비원 청소하는 미화원 얼럴러리여 천태만상 인간세상 사는법도 가지가지 귀천이 따로있나 농사짓는 농부 고기잡는 어부 공사장에 잡부 알바 도우미 파출부 약초캐는 심마니 오일장에 할머니 달래 냉이 취나물 콩나물 고사리 더덕 단감 곶감 이고 지고 오셔서 한푼두푼 벌어서 손주 용돈 주면서 고생고생하는데 백수가 웬말이냐 천태만상 인간세상 사는법도 가지가지 귀천이 따로있나
