Title,Singer,Lyric
우연히 봄,"로꼬, 유주 (여자친구)",우연히 내게 오나봐 봄 향기가 보여 너도 같이 오나봐 저 멀리서 니 향기가 설레는 코끝에 나의 입술에 괜찮은 느낌 이 떨림 나도 몰래 우연히 봄 어 어느새 겨울 지나 봄이야 여전히 난 너 앞에선 돌이야 난 아직 이게 믿기지가 않지만 내 왼손은 지금까지도 너의 향기가 미묘하게 흘렀던 분위기에 아직까지 난 가까스로 숨 쉬네 무대 위완 다르게 니 눈을 피해 고개를 돌렸던 내 모습에 한숨 쉬네 오랜만에 느껴지는 이 떨림이 날 단순하게 만들어 딱 너만 아는 거리지 다 고쳤다고 생각했던 버벅임이 또 도져서 준비했던 말을 잊어버리지 난 주워 담지 못할 말은 절대 안 해 원하는 걸 말해봐 널 위해서만 할게 너 빼곤 다 색칠할 수 있어 까맣게 천천히 갈게 조금 더 가깝게 우연히 내게 오나봐 봄 향기가 보여 너도 같이 오나봐 저 멀리서 니 향기가 설레는 코끝에 나의 입술에 괜찮은 느낌 이 떨림 나도 몰래 우연히 봄 우연히 봄 어 아직까지 향기가 짙네 발걸음이 가벼워 집에 가는 길엔 더 가까워질 너와 나를 상상하는 내 모습이 오글거려 몸서리치네 어 어 머릿속이 하얘지기 때문에 하루 종일 날씨 얘기만 반복하게 돼 오로지 난 너 하나 때문에 다른 것들에겐 무감각하게 돼 정적이 만드는 긴장감은 오히려 설레어 나를 미소 짓게 만들어 모른 척 하려 했던 니 옆의 남자들은 흐릿했던 내 눈 앞에 불을 키게 만들어 겨울은 유난히도 추웠고 다시 돌아온 그토록 기다렸던 봄 움직이지 못하도록 잡고 있고 싶어 날 더 느낄 수 있게 안고 있고 싶어 우연히 내게 오나봐 봄 향기가 보여 너도 같이 오나봐 저 멀리서 니 향기가 설레는 코끝에 나의 입술에 괜찮은 느낌 이 떨림 나도 몰래 우연히 봄 I love u so I love u 너무 쉬운 걸 그래도 나 참고 있을게 난 여자이니까 하루 더 기다려 바보야 내게 말해봐 니 마음도 보여 갖고 싶다고 해봐 더 이상은 감추지 마 어느새 내 앞에 이젠 내 앞에 괜찮은 느낌 이 떨림 나도 몰래 우연히 봄
어땠을까 (Feat. 박정현),싸이 (PSY),내가 그때 널 잡았더라면 너와 나 지금보다 행복했을까 마지막에 널 안아줬다면 어땠을까 나의 옛사랑 옛사람 가끔 난 너의 안부를 속으로 묻는다 그리고는 혼자 씩 웃는다 희미해진 그때의 기억을 빈 잔에 붓는다 잔이 차고 넘친다 기억을 마신다 그 기억은 쓰지만 맛있다 그 시절 우리의 도수는 거의 웬만한 독주보다 높았어 보고 또 봐도 보고팠어 사랑을 해도 해도 서로에게 고팠어목말랐어 참 우리 좋았었는데 헤어질 일이 없었는데 왜 그랬을까 그땐 사랑이 뭔지 몰라서 사랑이 사랑인줄 몰랐어 혼자서 그려본다 헤어지지 않았더라면 어땠을까 내가 그때 널 어땠을까 잡았더라면 어땠을까 너와 나 지금보다 행복했을까 어땠을까 마지막에 널 어땠을까 안아줬다면 어땠을까 너와 나 지금까지 함께 했을까 둘이 같이 꼴딱 밤새 맞이한 아침 홀딱 잠 깨 창문을 닫지 우리는 마치 창 밖의 참새처럼 잠들기 싫어하는 애처럼 초등학생처럼 아무도 없는데 아무도 모르게 아무도 못 듣게 귓속에 말을 해 그 시절 우리의 온도는 거의 저 밑에 적도 보다 높았어 성났어 감기도 아닌 것이 열났어 온몸의 어디든 귀를 갖다 대면은 맥박소리가 귓가에 그날의 너의 소리가 왜 그랬을까 그땐 사랑이 뭔지 몰라서 사랑이 사랑인 줄 몰랐어 혼자서 그려본다 헤어지지 않았더라면 어땠을까 내가 그때 널 어땠을까 잡았더라면 어땠을까 너와 나 지금보다 행복했을까 어땠을까 마지막에 널 어땠을까 안아줬다면 어땠을까 너와 나 지금까지 함께 했을까 눈앞에서 살진 않지만 눈감으면 살고 있다 다른 사람 품 안에서 같은 추억 하면서 내 곁에 있진 않지만 내 몸이 기억하고 있다 다른 사람 품 안에서 같은 추억 하면서 왜 그랬을까 그땐 사랑이 뭔지 몰라서 사랑이 사랑인 줄 몰랐어 혼자서 그려본다 헤어지지 않았더라면 어땠을까 내가 그때 널 어땠을까 잡았더라면 어땠을까 너와 나 지금보다 행복했을까 어땠을까 마지막에 널 어땠을까 안아줬다면 어땠을까 너와 나 지금까지 함께 했을까
Boys And Girls (Feat. Babylon),지코 (ZICO),Don't worry about money 놀자 오빠가 무리할게 넌 그냥 옆에서 편하게 groove 타기만 해 alright I’m a boy you’re a girl I’m a boy but you’re a girl I’m a boy you’re a girl 아름다운 여자는 대접 받아야 해 아는 친구들 불러모아 흥이 많고 사교성 좋은 애들로만 여긴 한국이지만 서구적인 느낌 가득 아 참 일렉은 절대 안 틀 거야 흠뻑 다 젖어 알콜로 샤워해 ice bucket challenge 저 고주망태는 누가 낚아 챌는지 키는 컸어도 호기심은 미성년 주체 못하는 바람에 주최한 festivity OH UH OH UH 날 알아봐도 티나게 리액션 하지 말아줘 OH UH OH UH 인스타 업뎃이 목적이면 겉옷 챙겨서 나가줘 OH UH OH UH 안목 있는 누나들 want to see ma tattoo 전화기 뒤집자 분위기 좋으니까 진지 빠는 즉시 귀가조치야 Don't worry about money 놀자 오빠가 무리할게 넌 그냥 옆에서 편하게 groove 타기만 해 alright I’m a boy you’re a girl I’m a boy but you’re a girl I’m a boy you’re a girl 아름다운 여자는 대접 받아야 해 이 파티에는 대부분이 잘나가니까 섣불리 가오 잡다간 곧바로 망신살 사양 말고 마셔 그건 네 인생샷 아무나 잡고 사진 박아도 네 인생샷 I’m intoxicated 남여남여 나눠 착석해 음탕한 게임 하더라도 밖에선 입 단속해 해 뜨고 네 화장도 뜨고 나 먼저 자리 뜨기 전까지 계속 뜨거 OH UH OH UH 다 망가지는 마당에 고상한 척은 자제해 OH UH OH UH 뜬금없는 일 얘기나 고민 상담은 따로해 OH UH OH UH 흑기사 자처하는 쟤는 무슨 심보 전화기 뒤집자 분위기 좋으니까 진지 빠는 즉시 귀가조치야 Don't worry about money 놀자 오빠가 무리할게 넌 그냥 옆에서 편하게 groove 타기만 해 alright I’m a boy you’re a girl I’m a boy but you’re a girl I’m a boy you’re a girl 아름다운 여자는 대접 받아야 해 Say hello to ma little friends 개념 다 차있지 실수하지 않게 당부해놨지 OH UH OH UH 부담 없이 누리면 돼 Don't worry about money 놀자 오빠가 무리할게 넌 그냥 옆에서 편하게 groove 타기만 해 alright I’m a boy you’re a girl I’m a boy but you’re a girl I’m a boy you’re a girl 아름다운 여자는 대접 받아야 해
우산 (Feat. 윤하),에픽하이 (EPIK HIGH),어느새 빗물이 내 발목에 고이고 참았던 눈물이 내 눈가에 고이고 I cry 텅빈 방엔 시계소리 지붕과 입 맞추는 비의 소리 오랜만에 입은 코트 주머니속에 반지 손틈새 스며드는 memory 며칠만에 나서보는 밤의 서울 고인 빗물은 작은 거울 그 속에 난 비틀거리며 아프니까 그대 없이 난 한쪽 다리가 짧은 의자 둘이서 쓰긴 작았던 우산 차가운 세상에 섬 같았던 우산 이젠 너무 크고 어색해 그대 곁에 늘 젖어있던 왼쪽어깨 기억의 무게에 고개 숙여보니 버려진듯 풀어진 내 신발끈 허나 곁엔 오직 비와 바람 없다 잠시라도 우산을 들어 줄 사람 and I cry 어느새 빗물이 내 발목에 고이고 참았던 눈물이 내 눈가에 고이고 I cry 그대는 내 머리위에 우산 어깨위에 차가운 비 내리는 밤 내 곁에 그대가 습관이 되어버린 나 난 그대없이는 안돼요 alone in the rain 하늘의 눈물이 고인 땅 별을 감춘 구름에 보인 달 골목길 홀로 외로운 구두 소리 메아리에 돌아보며 가슴 졸인 맘 나를 꼭 닮은 그림자 서로가 서로를 볼 수 없었던 우리가 이제야 둘인가 대답을 그리다 머리 속 그림과 대답을 흐린다 내 눈엔 너무 컸던 우산 날 울린 세상을 향해 접던 우산 영원의 약속에 활짝 폈던 우산 이제는 찢겨진 우산 아래 두 맘 돌아봐도 이제는 없겠죠 두 손은 주머니 속 깊게 넣겠죠 이리저리 자유롭게 걸어도 두 볼은 가랑비도 쉽게 젖겠죠 어느새 빗물이 내 발목에 고이고 참았던 눈물이 내 눈가에 고이고 I cry 그대는 내 머리위에 우산 어깨위에 차가운 비 내리는 밤 내 곁에 그대가 습관이 되어버린 나 난 그대없이는 안돼요 alone in the rain 난 열어놨어 내 맘의 문을 그댄 내 머리 위에 우산 그대의 그림자는 나의 그늘 그댄 내 머리 위에 우산 난 열어놨어 내 맘의 문을 그댄 내 머리 위에 우산 그대의 그림자는 나의 그늘 그댄 내 머리 위에 우산 나의 곁에 그대가 없기에 내 창밖에 우산을 들고 기다리던 그대 I cry 그대는 내 머리위에 우산 어깨위에 차가운 비 내리는 밤 내 곁에 그대가 습관이 되어버린 나 난 그대없이는 안돼요 그대는 내 머리위에 우산 어깨위에 차가운 비 내리는 밤 내 곁에 그대가 없는 반쪽의 세상 그댄 나 없이는 안돼요 forever in the rain
"헤어지지 못하는 여자, 떠나가지 못하는 남자 (Feat. 정인)",리쌍,헤어지지 못하는 여자 떠나가지 못하는 남자 사랑하지 않는 우리 그래서 No no no no no no 헤어지지 못하는 여자 떠나가지 못하는 남자 사랑하지 않는 우리 그래서 No no no no no no 우린 삼백만원짜리 중고차로 함께 어디든 다녔지 남부럽지 않게 팔짱을 끼고 한장의 사진에 추억을 담고 밤잠을 설쳐가며 서로를 알아가고 내 꿈은 너의 미래가 되어 우린 서로를 따르는 한쌍의 아름다운 새여 채워져도 부족했던 사랑 다시 태어나도 만나고픈 사람 하지만 세월 앞에서는 역시 서로의 욕심을 이기지 못해 욕실에 홀로 앉아 우는 너의 울음 소리 나를 쏘아보는 눈초리 날이 갈수록 더 해 난 또 이별을 생각해 하루종일 태양은 뜨거운데 니 맘은 얼어있네 누구의 잘못인지 사랑하긴 하는데 Baby 모든게 그대론데 우리는 변해있네 누구의 잘못인지 사랑하긴 하는데 Baby 헤어지지 못하는 여자 떠나가지 못하는 남자 사랑하지 않는 우리 그래서 No no no no no no 헤어지지 못하는 여자 떠나가지 못하는 남자 사랑하지 않는 우리 그래서 No no no no no no 때론 너무나 바빠 너에게 미안해 지갑에 돈을 채우고 시간을 내 티나게 사랑을 표현 못해도 너와 함께 영화를 보고 밥을 먹으면 니 기분이 풀릴거라 여기던 내 생각은 또 빗나가 거리를 거닐며 너에게 장난을 쳐도 진부한 사랑 놀이 사랑은 한때 사랑은 이별과 한패 이별은 사랑을 데리고 가는데 태양은 뜨거운데 니 맘은 얼어있네 누구의 잘못인지 사랑하긴 하는데 Baby 모든게 그대론데 우리는 변해있네 누구의 잘못인지 사랑하긴 하는데 Baby 헤어지지 못하는 여자 떠나가지 못하는 남자 사랑하지 않는 우리 그래서 No no no no no no 헤어지지 못하는 여자 떠나가지 못하는 남자 사랑하지 않는 우리 그래서 No no no no no no 사랑은 한때 사랑은 이별과 한패 이별은 사랑을 데리고 간대 사랑은 한때 사랑은 이별과 한패 이별은 사랑을 데리고 간대 버리면 버려지는게 사랑이라면 얼마나 좋을까 모두 꿈인데 니 손을 잡은 건 원하면 얻어지는게 사랑이라면 얼마나 좋을까 모두 꿈인데 나는 벗어나지 못하네 헤어지지 못하는 여자 떠나가지 못하는 남자 사랑하지 않는 우리 그래서 No no no no no no 헤어지지 못하는 여자 떠나가지 못하는 남자 사랑하지 않는 우리 그래서 No no no no no no No no no No no no No no no No no no Oh yeh 사랑에 묶이는 남자는 약해 빠진걸까 사랑을 굶기는 남자는 무능력한걸까 비밀을 숨기는 남자는 나 뿐인걸까 사랑 대체 왜 변하는걸까 Yeh
한여름밤의 꿀,"San E, 레이나 (Raina)",무더운 밤 잠은 오지 않고 이런저런 생각에 불러본 너 나올 줄 몰랐어 간지러운 바람 웃고 있는 우리 밤하늘에 별 취한듯한 너 시원한 beer cheers 바랄게 뭐 더 있어 한여름밤의 꿀 한여름밤의 꿀 so sweet so sweet yum 정말 오랜만이야 어떻게 지냈어 나 똑같지 뭐 그냥 열심히 일했어 넌 어때 그때 그 사람 계속 만나 헤어졌구나 미안 괜한 얘기 꺼내 어쨌든 반가워 시간 진짜 빠르다 벌써 여기까지 왔네 우리도 근데 어쩜 넌 하나 변함없이 여전히 이쁘네 던진 농담 반 진담 반 왜 말 돌리는데 술 때문인 건지 아니면 부끄러운 건지 빨개지는 볼 너 생각나로 피어나는 추억에 화원 색색 아련한 이야기꽃 웃음꽃 I want to tell you something 예전에 나 너 좋아했던 거 알어 and you said I know 나 좀 취했나 봐 헛소리 신경 쓰지 말고 cheers 건배 오늘처럼 무더운 밤 잠은 오지 않고 이런저런 생각에 불러본 너 나올 줄 몰랐어 간지러운 바람 웃고 있는 우리 밤하늘에 별 취한듯한 너 시원한 beer cheers 바랄게 뭐 더 있어 한여름밤의 꿀 이건 마치 한여름밤의 꿀 우린 마치 so sweet so sweet yum Hold up 지금 나오는 노래 뭐지 잠깐 Hold up 알듯한데 제목 기억 안 나는 옛 노래 흥얼거려 멜로디 시원한 밤공기 자리 옮길 겸 걷자 신난다며 폴짝 뛰어가는 뒷모습 참 순수해 너란 여자 그러다 벌레 한 마리에 기겁하더니 가로등 불빛 아래 포개지는 그림자 하나 이 순간 둘 행복해 셋 어느새 쥐고 있는 손가락 넷 한여름밤의 꿈 깨고 싶지 않은 한여름밤의 꿀 바로 오늘 같은 무더운 밤 잠은 오지 않고 이런저런 생각에 불러본 너 나올 줄 몰랐어 간지러운 바람 웃고 있는 우리 밤하늘에 별 취한듯한 너 시원한 beer cheers 바랄게 뭐 더 있어 한여름밤의 꿀 이건 마치 한여름밤의 꿀 우린 마치 so sweet so sweet yum 오늘 너무 즐거웠어 너무 즐거웠어 너무 반가웠어 나도 반가웠어 잘 자 굿나잇 You have a sweet dream 이런 널 보고 있자니 바랄게 없어서 행복했어 So happy 너무 행복했어 Me too 잘 자 굿나잇 You have a sweet dream 이런 널 안고 있자니 바랄게 뭐 더 있어 한여름밤의 꿀 한여름밤의 꿀 so sweet so sweet yum 한여름밤의 꿀 이건 마치 한여름밤의 꿀 우린 마치 so sweet so sweet yum
감아 (Hold Me Tight) (Feat. Crush),로꼬,난 이제 익숙해지는 것 같아 키가 작을 때부터 해왔던 상상 마음껏 펼치고는 꿀 같은 단잠 자고 일어났어 어딜 가든 나는 항상 자신감 넘치게 행동해야 하지 아직 많이 부족하긴 해도 끝까지 이뤄낼 거야 내 꿈 너도 알지 그래도 네가 있어 난 힘이 나지 너의 하루는 어땠어 느껴져 딱 목소리에서 누가 또 네 심기에 손 댔어 맞아 전부 그 사람이 잘못했어 쓰다듬어주고 싶어 네 머리를 오늘도 고생 많이 했어 이번 주말에는 떠나자 어디든 일단 눈 감아 내 팔에 기대서 Baby 난 너만 담아 오늘은 편하게 내게 안겨도 돼 겁먹지마 이 밤이 우릴 환하게 반겨주네 눈을 감아 두 눈을 감아 허리에 팔을 감아 나만 믿고 따라와 쉬는 동안에도 주말마다 일이 생기지 가끔은 너무 정신 없어서 내 몸도 못 챙기지 내 나름대로의 욕심 때문에 압박이 머리를 조여도 다 풀어냈을 때 그 시원함이 나를 무대위로 또 올려줘 나도 오늘 일을 끝냈으니 편안하게 와서 안겨도 돼 현실이 꼬리를 물기 전에 더 이상은 아무것도 생각하지 않기로 해 괜찮아 괜찮아 우리 둘 밖에 없어 네가 하고 싶은 대로 해 준비 안된 건 없어 Baby 난 너만 담아 오늘은 편하게 내게 안겨도 돼 겁먹지마 이 밤이 우릴 환하게 반겨주네 눈을 감아 두 눈을 감아 허리에 팔을 감아 나만 믿고 따라와 미리 맞춰놨어 적당한 온도 너 때문에 오늘 아침부터 뎁혀 놔서 따듯해 내 몸도 이리 와서 누워도 돼 내 옆에 눈감고 기대봐 내 옆에 잡은 손 놓지 않아 절대 네가 눈을 떠도 어디 가지 않아 절대 걱정하지 마 우리가 만날 시간은 많아 오늘 따라 밤이 차갑지만 곁에 있어 괜찮아 편하게 눈감아 내 곁에 누워도 돼 두 손을 꼭 잡고 Ma Baby Baby 난 너만 담아 오늘은 편하게 내게 안겨도 돼 겁먹지마 이 밤이 우릴 환하게 반겨주네 눈을 감아 두 눈을 감아 허리에 팔을 감아 나만 믿고 따라와
Y (Please Tell Me Why),프리스타일,My baby I love you so much forever you and I I love you oh I love you so much forever you and I My baby I love you so much forever you and I I love you oh I love you so much forever you and I 지나간 시간들을 모두 다 되돌릴 순 없겠지 하나 둘 쌓여가는 걱정도 모두 내 탓이겠지 하루가 지나고 이틀 아무 의미가 없어 너없는 이 순간이 내게는 아무 느낌도 없어 Tell Me Please tell me why 왜 나를 떠나 갔어 Please tell me why 사랑하는 나를 두고 Tell me Please tell me why 내게 다시 돌아와줘 지난 아픈 기억들은 모두 잊고서 우리 다시 시작해 Baby My baby I love you so much forever you and I I love you oh I love you so much forever you and I My baby I love you so much forever you and I I love you oh I love you so much forever you and I Yo X girl friend How have you been 어떻게 지내 너도 알겠지 내가 바보같은 남자란걸 무언가를 잃어버린것 처럼 불안해 그안에 가슴에 구멍이 난것처럼 허전해 여전해 한번 시작된 눈물은 대체 마르지가 않아 여태 혹시나 마주칠까 니가 자주걷는 거리를 두리번 두리번 거리며 반복하는 내모습을 보면 너때문인걸 My Girl 한번쯤은 너 역시 넌 나와 함께 갔던 그곳을 찾아가는지도 몰라 다시 내게 돌아와줘 My sweet heart Please tell me why 왜 나를 떠나 갔어 Please tell me why 사랑하는 나를 두고 Tell me Please tell me why 내게 다시 돌아와줘 지난 아픈 기억들은 모두 잊고서 우리 다시 시작해 Baby My baby I love you so much forever you and I I love you oh I love you so much forever you and I My baby I love you so much forever you and I I love you oh I love you so much forever you and I 난 지금 여기 있는데 널 항상 기다리는데 어떻게 해야 하는지 되돌릴 순 없는지 다시 내게 돌아와줘 My baby I love you so much forever you and I I love you oh I love you so much forever you and I My baby I love you so much forever you and I I love you oh I love you so much forever you and I
죽일 놈 (Guilty),다이나믹 듀오,너 아까 나한테 왜그랬어 너 또 왜 그러는데 내가 도대체 어디까지 맞춰야 돼 넌 맨날 그런 식이야 됐어 나 갈게 너는 뛰쳐나가 차 문을 부술듯이 닫으면서 난 머리를 쳐박고 한숨쉬어 핸들을 안으면서 이런 광경이 너무 익숙해 이젠 웬만한 싸움에는 상처도 잘 안나 이젠 명품 쇼핑할 때처럼 너무 깐깐해 니 기준은 한번 화나면 뒤끝 장난 아냐 적어도 2주는 가니까 난 성격이 너무 물러서 넌 항상 말해 남자니까 뒤로 좀 물러서 부담돼 니가 내게 결혼을 보채는것도 난 달인처럼 대화 화제를 돌리는 법도 많이 늘었어 넌 항상 추격하고 나는 도망쳐 솔직히 말할게 난 아직 준비안됐어 지쳤어 조금 널 향한 사랑은 도금이 벗겨진 반지처럼 빛이 바랬어 오늘은 이별을 말해야 될 것 같아 지겹거든 너랑 다툴 때마다 항상 하는 말 내가 죽일 놈이지 뭐 우리가 어긋날 때면 전부 내 탓이지 뭐 마치 죄인인 것처럼 난 한걸음 물러섰어 아무말도 안해 완벽한 너한테 난 항상 부족한 사람인 걸 처음엔 쉬웠어 너와 함께라는게 난 너를 피해 내 자신을 숨기고 또 지웠어 사랑에 취해 내게 기대고 너란 퍼즐에 날 억지로 맞춰 끼웠어 하지만 이제 난 지쳤어 니가 만든 내게 난 숨이 막혀 오는데 넌 점점 더 내게 바라는게 많아졌어 마찰이 잦아졌어 니가 사준 구두굽처럼 사랑이 닳아졌어 니 잔소리는 넥타이처럼 내 목을 조여서 날 얌전하게 만들었지 그래서 그게 좋아 보였어 그때는 속은 한참 뒤틀리고 꼬였어 지금 난 널 만나기전에 내가 너무 고파 이미 우리 사이 권태라는 벽은 너무 높아 내가 더 잘할게 잘할게하며 발악했던 나지만 오늘은 말할래 이것이 너와 나의 마지막 내가 죽일 놈이지 뭐 우리가 어긋날 때면 전부 내 탓이지 뭐 마치 죄인인 것처럼 난 한걸음 물러섰어 아무말도 안해 완벽한 너한텐 난 항상 부족한 사람인 걸 내가 잘할게 내가 잘할게란 말 이젠 두 번 다신 안할게 이 말 안할래 너를 사랑해란 말 이젠 두번다신 안할게 내가 잘할게 내게 잘해달란 말 이젠 두 번 다신 안할게 이 말 안할래 그동안 참아왔던 이별을 오늘은 네게 말할래 I Don't want say no more 내가 죽일 놈이지 뭐 우리가 어긋날 때면 전부 내 탓이지 뭐 마치 죄인인 것처럼 난 한걸음 물러섰어 아무말도 안해 완벽한 너한텐 난 항상 부족한 사람인 걸
자니 (Feat. Dynamic Duo),프라이머리,일 끝나서 친구들과 한잔 내일은 노는 토요일이니깐 일 얘기 사는 얘기 재미난 얘기 시간가는 줄 모르는 이 밤 술기운이 올라오니 사내놈들끼린 결국엔 여자 얘기 적적해서 서로의 전화기를 꺼내 번호목록을 뒤져보지 너는 지금 뭐해 자니 밖이야 뜬금없는 문자를 돌려보지 난 어떻게 해볼까란 뜻은 아니야 그냥 심심해서 그래 아니 외로워서 그래 술자리가 끝나가 3차로 이동하기 전인데 문자는 일분 칠분 십분 and 이십분 담배와 애만 태우는 지금 답장 왔어 오빠 나 남친 생겼어 늦었어 좀 일찍 연락하지 그랬어 담에 봐 그냥 담에 낮에 봐 후회할거 알면서 전 여자친구에게 너는 지금 뭐해 자니 밖이야 뜬금없는 문자를 보내보지 난 어떻게 해볼까란 뜻은 아니야 그냥 심심해서 그래 아니 외로워서 그래 아 진짜 술만 들어가면 왜 이렇게 들뜨는지 나도 잘 몰라 난 왜 그녀들을 부르는지 갑자기 허전해 작업을 걸어대지 여기저기 오늘 밤 나 자존심 다 버렸네 전 여친한테 더럽게 달라붙어 봤지만 그녀는 버럭해 너 진짜 철없게 언제까지 이럴래 미안해 갑자기 외로운걸 어떡해 껄떡대 껄떡대 나 여기저기 다 맘껏 들쑤시고 다녀 온 거릴 거릴 다 또 잠들었어 프라이머리가 텐션 떨어진다 동훈아 넌 저리가 이제 해가 나올 시간이 되가니까 눈이 녹듯이 사그라드는 기대감 너무 지치고 피곤해 자고 싶어 이제 나 첫차를 타고 졸며 집에가 창밖에 앉아 밖을 바라보네 나는 꾸벅꾸벅 조는데 사람들은 하루를 시작해 눈부셔 아침해를 보는게 정신은 맑아지지 않는 기분 아직도 바쁜 내 손가락 아직 손은 바쁘게 움직이지 해장국이나 먹고 갈래 오빠랑 너는 지금 뭐해 자니 밖이야 뜬금없는 문자를 보내보지 난 어떻게 해볼까란 뜻은 아니야 그냥 심심해서 그래 아니 외로워서 그래 가지마 제발 심심해서 그래
